age,animal,bucket,name,idx,gate,eff_w_norm,coeff_raw,sigma,source
10weeks,Pablo,cross,I₈D1D2,42,0.197,0.23055,0.48308,0.47725,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/10weeks/Pablo/runsfinal/Pablo_final_equation.txt
16weeks,Audi,iso,<E_θ>,2,0.050922,0.054251,0.15159,0.35789,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Audi,iso,<E_z>,3,0.048506,0.035581,0.21241,0.16751,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Audi,aniso,<I₄z-1>,6,0.09317,0.072158,0.21481,0.33592,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Audi,aniso,<I₄D1-1>,7,0.048575,0.051419,0.072356,0.71064,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Audi,aniso,<I₄D2-1>,8,0.042618,0.044839,0.063097,0.71064,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Audi,cross,I₈D1D2,42,0.8729,1.6013,1.9043,0.84085,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Audi/runsfinal/Audi_final_equation.txt
16weeks,Oreon,iso,<E_z>,3,0.00224,0.0016862,0.014179,0.11892,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Oreon/runsfinal/Orion_final_equation.txt
16weeks,Oreon,aniso,<I₄D1-1>,7,0.25215,0.2847,1.1688,0.24358,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Oreon/runsfinal/Orion_final_equation.txt
16weeks,Oreon,aniso,<I₄D2-1>,8,0.23398,0.26069,1.0702,0.24358,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Oreon/runsfinal/Orion_final_equation.txt
16weeks,Oreon,aniso,(<I₄D2-1>)³,16,0.0077118,0.005679,0.017228,0.32964,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Oreon/runsfinal/Orion_final_equation.txt
16weeks,Oreon,cross,I₈D1D2,42,0.10503,0.10032,0.64829,0.15475,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Oreon/runsfinal/Orion_final_equation.txt
16weeks,Sagittarius,iso,<E_z>,3,0.15938,0.17447,1.7593,0.099167,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Sagittarius/runsfinal/Original_final_equation.txt
16weeks,Sagittarius,aniso,<I₄z-1>,6,0.18051,0.19774,0.9969,0.19835,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Sagittarius/runsfinal/Original_final_equation.txt
16weeks,Sagittarius,aniso,(<I₄θ-1>)³,13,0.04586,0.038581,39.438,0.00097828,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Sagittarius/runsfinal/Original_final_equation.txt
16weeks,Sagittarius,cross,<I₂-3>·<E_z>,35,0.036205,0.025023,0.030038,0.83306,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Sagittarius/runsfinal/Original_final_equation.txt
16weeks,Sagittarius,cross,I₈D1D2,42,0.2906,0.30199,1.5592,0.19368,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/16weeks/Sagittarius/runsfinal/Original_final_equation.txt
28weeks,Dodge,iso,I₁-3,0,0.18114,0.19377,0.012798,15.14,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Dodge/runsfinal/Dodge_final_equation.txt
28weeks,Dodge,iso,I₂-3,1,0.99999,4.6077,0.13947,33.038,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Dodge/runsfinal/Dodge_final_equation.txt
28weeks,Dodge,iso,<I₂-3>ln(1+<I₂-3>),4,1.0,10.139,0.066419,152.65,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Dodge/runsfinal/Dodge_final_equation.txt
28weeks,Dodge,cross,I₈D1D2,42,0.97114,1.6362,3.0141,0.54284,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Dodge/runsfinal/Dodge_final_equation.txt
28weeks,Lexus,iso,<E_θ>,2,0.54049,0.62773,1.1852,0.52966,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,iso,<E_z>,3,0.001979,0.0012579,0.015204,0.082734,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,aniso,<I₄θ-1>,5,0.28787,0.28886,0.27265,1.0595,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,aniso,<I₄D1-1>,7,0.037693,0.03032,0.12874,0.23552,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,aniso,<I₄D2-1>,8,0.032343,0.025462,0.10811,0.23552,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,cross,<I₄z-1>·<E_z>,30,0.0018446,0.0011831,0.0093102,0.12708,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Lexus,cross,I₈D1D2,42,0.0012937,0.001052,0.0046148,0.22797,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Lexus/runsfinal/lexus_final_equation.txt
28weeks,Mercedes,aniso,<I₄D1-1>,7,0.19744,0.209,1.1643,0.1795,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt
28weeks,Mercedes,aniso,<I₄D2-1>,8,0.17782,0.18514,1.0314,0.1795,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt
28weeks,Mercedes,cross,<I₂-3>·<E_z>,35,0.016849,0.011572,0.062301,0.18574,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt
28weeks,Mercedes,cross,I₈D1D2,42,0.30421,0.40571,2.5372,0.15991,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/28weeks/Mercedes/runsfinal/Mercedes_final_equation.txt
3weeks,Lucid,iso,<E_z>,3,0.12598,0.10776,0.4301,0.25054,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Lucid/runsfinal/Lucid_final_equation.txt
3weeks,Lucid,aniso,<I₄z-1>,6,0.10239,0.083373,0.16608,0.50199,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Lucid/runsfinal/Lucid_final_equation.txt
3weeks,Lucid,aniso,exp(<I₄z-1>)-1,22,0.10356,0.098687,0.016099,6.1301,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Lucid/runsfinal/Lucid_final_equation.txt
3weeks,Lucid,cross,I₈D1D2,42,0.22762,0.23372,0.48855,0.4784,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Lucid/runsfinal/Lucid_final_equation.txt
3weeks,Rosie,iso,I₁-3,0,0.00037173,0.00023225,0.0034977,0.066401,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,iso,I₂-3,1,0.00036641,0.00022872,0.0027677,0.082638,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,iso,<E_θ>,2,0.00040103,0.00025202,0.0027694,0.091001,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,iso,<I₂-3>ln(1+<I₂-3>),4,0.00040621,0.00025547,0.0111,0.023016,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,aniso,(<I₄θ-1>)³,13,0.00043512,0.00027493,0.0079588,0.034544,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,aniso,(<I₄z-1>)³,14,0.00045741,0.00028889,0.018348,0.015745,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,aniso,(<I₄D1-1>)³,15,0.00042118,0.00026538,0.023572,0.011258,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,aniso,(<I₄D2-1>)³,16,0.00042102,0.00026528,0.023564,0.011258,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,cross,<I₄z-1>·<E_z>,30,0.00041064,0.00025766,0.012173,0.021167,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,cross,<I₁-3>·<E_θ>,32,0.00040952,0.00025776,0.01412,0.018255,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,cross,<I₄z-1>·<I₄D2-1>,41,0.00041141,0.00025843,0.0075835,0.034077,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
3weeks,Rosie,cross,I₈D1D2,42,0.0045588,0.0037522,0.030195,0.12427,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/3weeks/Rosie/runsfinal/Original_final_equation.txt
8weeks,Martini,iso,<E_θ>,2,0.19668,0.20526,1.1535,0.17795,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
8weeks,Martini,iso,<E_z>,3,0.12134,0.12487,0.50237,0.24855,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
8weeks,Martini,aniso,<I₄θ-1>,5,0.085292,0.079235,0.22237,0.35633,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
8weeks,Martini,aniso,<I₄z-1>,6,0.28106,0.32058,0.64354,0.49815,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
8weeks,Martini,cross,<I₁-3>·<E_z>,33,0.018908,0.0161,0.0020865,7.7163,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
8weeks,Martini,cross,I₈D1D2,42,0.58757,0.93928,1.8125,0.51822,/Users/marisabazzi/Library/CloudStorage/GoogleDrive-msbazzi@stanford.edu/My Drive/TEVG/Juvenile/Paper/Mechanical testing analysis/Single_fitting/8weeks/Martini/runsfinal/Martini_final_equation.txt
